Freq.	V(vi)/I(C)
Step Information: Run=1  (Run: 1/100)
2.69153480392689e+004	-2.27102429390173e+005,1.77778997947772e+005
2.75422870333814e+004	-2.27102429390702e+005,1.73732253918956e+005
2.81838293126443e+004	-2.27102429391251e+005,1.69777625030813e+005
2.88403150312658e+004	-2.27102429391820e+005,1.65913014486758e+005
2.95120922666636e+004	-2.27102429392411e+005,1.62136373219124e+005
3.01995172040199e+004	-2.27102429393022e+005,1.58445698802720e+005
3.09029543251356e+004	-2.27102429393654e+005,1.54839034393118e+005
3.16227766016835e+004	-2.27102429394309e+005,1.51314467689104e+005
3.23593656929625e+004	-2.27102429394987e+005,1.47870129918760e+005
3.31131121482588e+004	-2.27102429395689e+005,1.44504194848605e+005
3.38844156139199e+004	-2.27102429396416e+005,1.41214877815313e+005
3.46736850452528e+004	-2.27102429397169e+005,1.38000434779451e+005
3.54813389233572e+004	-2.27102429397951e+005,1.34859161400772e+005
3.63078054770098e+004	-2.27102429398761e+005,1.31789392134552e+005
3.71535229097169e+004	-2.27102429399603e+005,1.28789499348490e+005
3.80189396320557e+004	-2.27102429400476e+005,1.25857892459724e+005
3.89045144994277e+004	-2.27102429401384e+005,1.22993017091475e+005
3.98107170553493e+004	-2.27102429402328e+005,1.20193354248902e+005
4.07380277804108e+004	-2.27102429403309e+005,1.17457419513708e+005
4.16869383470331e+004	-2.27102429404331e+005,1.14783762257081e+005
4.26579518801588e+004	-2.27102429405394e+005,1.12170964870553e+005
4.36515832240161e+004	-2.27102429406501e+005,1.09617642014366e+005
4.46683592150958e+004	-2.27102429407655e+005,1.07122439882943e+005
4.57088189614870e+004	-2.27102429408857e+005,1.04684035487086e+005
4.67735141287193e+004	-2.27102429410111e+005,1.02301135952509e+005
4.78630092322633e+004	-2.27102429411418e+005,9.99724778343374e+004
4.89778819368441e+004	-2.27102429412783e+005,9.76968264472127e+004
5.01187233627267e+004	-2.27102429414206e+005,9.54729752106478e+004
5.12861383991359e+004	-2.27102429415693e+005,9.32997450092813e+004
5.24807460249767e+004	-2.27102429417245e+005,9.11759835676941e+004
5.37031796370247e+004	-2.27102429418866e+005,8.91005648394591e+004
5.49540873857619e+004	-2.27102429420560e+005,8.70723884100953e+004
5.62341325190343e+004	-2.27102429422329e+005,8.50903789136137e+004
5.75439937337151e+004	-2.27102429424178e+005,8.31534854623450e+004
5.88843655355583e+004	-2.27102429426111e+005,8.12606810897434e+004
6.02559586074351e+004	-2.27102429428132e+005,7.94109622058770e+004
6.16595001861475e+004	-2.27102429430245e+005,7.76033480653098e+004
6.30957344480186e+004	-2.27102429432454e+005,7.58368802470986e+004
6.45654229034648e+004	-2.27102429434765e+005,7.41106221466247e+004
6.60693448007589e+004	-2.27102429437182e+005,7.24236584789936e+004
6.76082975391974e+004	-2.27102429439710e+005,7.07750947937403e+004
6.91830970918929e+004	-2.27102429442355e+005,6.91640570005781e+004
7.07945784384130e+004	-2.27102429445122e+005,6.75896909059450e+004
7.24435960074982e+004	-2.27102429448018e+005,6.60511617600995e+004
7.41310241300909e+004	-2.27102429451047e+005,6.45476538145241e+004
7.58577575029175e+004	-2.27102429454218e+005,6.30783698894060e+004
7.76247116628683e+004	-2.27102429457537e+005,6.16425309509607e+004
7.94328234724272e+004	-2.27102429461010e+005,6.02393756983787e+004
8.12830516164090e+004	-2.27102429464645e+005,5.88681601601731e+004
8.31763771102661e+004	-2.27102429468450e+005,5.75281572997168e+004
8.51138038202367e+004	-2.27102429472433e+005,5.62186566297577e+004
8.70963589956071e+004	-2.27102429476603e+005,5.49389638357081e+004
8.91250938133735e+004	-2.27102429480968e+005,5.36884004075121e+004
9.12010839355899e+004	-2.27102429485538e+005,5.24663032798883e+004
9.33254300796980e+004	-2.27102429490322e+005,5.12720244807652e+004
9.54992586021425e+004	-2.27102429495331e+005,5.01049307877173e+004
9.77237220955799e+004	-2.27102429500575e+005,4.89644033922221e+004
9.99999999999988e+004	-2.27102429506067e+005,4.78498375715605e+004
1.02329299228074e+005	-2.27102429511816e+005,4.67606423681833e+004
1.04712854805089e+005	-2.27102429517837e+005,4.56962402763799e+004
1.07151930523759e+005	-2.27102429524141e+005,4.46560669360739e+004
1.09647819614317e+005	-2.27102429530742e+005,4.36395708335958e+004
